county,precinct,office,district,party,candidate,votes
Autauga,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1941
Autauga,,Lieutenant Governor,,REP,Will Ainsworth,13558
Autauga,,Lieutenant Governor,,NON,Write-ins,71
Baldwin,,Lieutenant Governor,,LIB,Ruth Page-Nelson,7702
Baldwin,,Lieutenant Governor,,REP,Will Ainsworth,59569
Baldwin,,Lieutenant Governor,,NON,Write-ins,234
Barbour,,Lieutenant Governor,,LIB,Ruth Page-Nelson,660
Barbour,,Lieutenant Governor,,REP,Will Ainsworth,3850
Barbour,,Lieutenant Governor,,NON,Write-ins,18
Bibb,,Lieutenant Governor,,LIB,Ruth Page-Nelson,461
Bibb,,Lieutenant Governor,,REP,Will Ainsworth,4799
Bibb,,Lieutenant Governor,,NON,Write-ins,19
Blount,,Lieutenant Governor,,LIB,Ruth Page-Nelson,973
Blount,,Lieutenant Governor,,REP,Will Ainsworth,15146
Blount,,Lieutenant Governor,,NON,Write-ins,17
Bullock,,Lieutenant Governor,,LIB,Ruth Page-Nelson,330
Bullock,,Lieutenant Governor,,REP,Will Ainsworth,824
Bullock,,Lieutenant Governor,,NON,Write-ins,9
Butler,,Lieutenant Governor,,LIB,Ruth Page-Nelson,529
Butler,,Lieutenant Governor,,REP,Will Ainsworth,3862
Butler,,Lieutenant Governor,,NON,Write-ins,10
Calhoun,,Lieutenant Governor,,LIB,Ruth Page-Nelson,3482
Calhoun,,Lieutenant Governor,,REP,Will Ainsworth,22295
Calhoun,,Lieutenant Governor,,NON,Write-ins,162
Chambers,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1019
Chambers,,Lieutenant Governor,,REP,Will Ainsworth,5970
Chambers,,Lieutenant Governor,,NON,Write-ins,48
Cherokee,,Lieutenant Governor,,LIB,Ruth Page-Nelson,431
Cherokee,,Lieutenant Governor,,REP,Will Ainsworth,6970
Cherokee,,Lieutenant Governor,,NON,Write-ins,17
Chilton,,Lieutenant Governor,,LIB,Ruth Page-Nelson,789
Chilton,,Lieutenant Governor,,REP,Will Ainsworth,10543
Chilton,,Lieutenant Governor,,NON,Write-ins,22
Choctaw,,Lieutenant Governor,,LIB,Ruth Page-Nelson,643
Choctaw,,Lieutenant Governor,,REP,Will Ainsworth,3165
Choctaw,,Lieutenant Governor,,NON,Write-ins,13
Clarke,,Lieutenant Governor,,LIB,Ruth Page-Nelson,585
Clarke,,Lieutenant Governor,,REP,Will Ainsworth,5377
Clarke,,Lieutenant Governor,,NON,Write-ins,24
Clay,,Lieutenant Governor,,LIB,Ruth Page-Nelson,254
Clay,,Lieutenant Governor,,REP,Will Ainsworth,3666
Clay,,Lieutenant Governor,,NON,Write-ins,11
Cleburne,,Lieutenant Governor,,LIB,Ruth Page-Nelson,242
Cleburne,,Lieutenant Governor,,REP,Will Ainsworth,4170
Cleburne,,Lieutenant Governor,,NON,Write-ins,6
Coffee,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1153
Coffee,,Lieutenant Governor,,REP,Will Ainsworth,11358
Coffee,,Lieutenant Governor,,NON,Write-ins,39
Colbert,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1652
Colbert,,Lieutenant Governor,,REP,Will Ainsworth,12927
Colbert,,Lieutenant Governor,,NON,Write-ins,47
Conecuh,,Lieutenant Governor,,LIB,Ruth Page-Nelson,358
Conecuh,,Lieutenant Governor,,REP,Will Ainsworth,2593
Conecuh,,Lieutenant Governor,,NON,Write-ins,7
Coosa,,Lieutenant Governor,,LIB,Ruth Page-Nelson,383
Coosa,,Lieutenant Governor,,REP,Will Ainsworth,2692
Coosa,,Lieutenant Governor,,NON,Write-ins,12
Covington,,Lieutenant Governor,,LIB,Ruth Page-Nelson,620
Covington,,Lieutenant Governor,,REP,Will Ainsworth,9801
Covington,,Lieutenant Governor,,NON,Write-ins,11
Crenshaw,,Lieutenant Governor,,LIB,Ruth Page-Nelson,300
Crenshaw,,Lieutenant Governor,,REP,Will Ainsworth,3619
Crenshaw,,Lieutenant Governor,,NON,Write-ins,7
Cullman,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1500
Cullman,,Lieutenant Governor,,REP,Will Ainsworth,23652
Cullman,,Lieutenant Governor,,NON,Write-ins,34
Dale,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1194
Dale,,Lieutenant Governor,,REP,Will Ainsworth,9438
Dale,,Lieutenant Governor,,NON,Write-ins,52
Dallas,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1650
Dallas,,Lieutenant Governor,,REP,Will Ainsworth,4118
Dallas,,Lieutenant Governor,,NON,Write-ins,78
Dekalb,,Lieutenant Governor,,LIB,Ruth Page-Nelson,867
Dekalb,,Lieutenant Governor,,REP,Will Ainsworth,15242
Dekalb,,Lieutenant Governor,,NON,Write-ins,24
Elmore,,Lieutenant Governor,,LIB,Ruth Page-Nelson,2517
Elmore,,Lieutenant Governor,,REP,Will Ainsworth,20472
Elmore,,Lieutenant Governor,,NON,Write-ins,90
Escambia,,Lieutenant Governor,,LIB,Ruth Page-Nelson,777
Escambia,,Lieutenant Governor,,REP,Will Ainsworth,7278
Escambia,,Lieutenant Governor,,NON,Write-ins,19
Etowah,,Lieutenant Governor,,LIB,Ruth Page-Nelson,2121
Etowah,,Lieutenant Governor,,REP,Will Ainsworth,20803
Etowah,,Lieutenant Governor,,NON,Write-ins,87
Fayette,,Lieutenant Governor,,LIB,Ruth Page-Nelson,297
Fayette,,Lieutenant Governor,,REP,Will Ainsworth,4751
Fayette,,Lieutenant Governor,,NON,Write-ins,4
Franklin,,Lieutenant Governor,,LIB,Ruth Page-Nelson,424
Franklin,,Lieutenant Governor,,REP,Will Ainsworth,6525
Franklin,,Lieutenant Governor,,NON,Write-ins,5
Geneva,,Lieutenant Governor,,LIB,Ruth Page-Nelson,405
Geneva,,Lieutenant Governor,,REP,Will Ainsworth,7056
Geneva,,Lieutenant Governor,,NON,Write-ins,6
Greene,,Lieutenant Governor,,LIB,Ruth Page-Nelson,271
Greene,,Lieutenant Governor,,REP,Will Ainsworth,656
Greene,,Lieutenant Governor,,NON,Write-ins,9
Hale,,Lieutenant Governor,,LIB,Ruth Page-Nelson,532
Hale,,Lieutenant Governor,,REP,Will Ainsworth,2350
Hale,,Lieutenant Governor,,NON,Write-ins,12
Henry,,Lieutenant Governor,,LIB,Ruth Page-Nelson,693
Henry,,Lieutenant Governor,,REP,Will Ainsworth,5053
Henry,,Lieutenant Governor,,NON,Write-ins,16
Houston,,Lieutenant Governor,,LIB,Ruth Page-Nelson,3124
Houston,,Lieutenant Governor,,REP,Will Ainsworth,21252
Houston,,Lieutenant Governor,,NON,Write-ins,122
Jackson,,Lieutenant Governor,,LIB,Ruth Page-Nelson,790
Jackson,,Lieutenant Governor,,REP,Will Ainsworth,11613
Jackson,,Lieutenant Governor,,NON,Write-ins,31
Jefferson,,Lieutenant Governor,,LIB,Ruth Page-Nelson,34412
Jefferson,,Lieutenant Governor,,REP,Will Ainsworth,95778
Jefferson,,Lieutenant Governor,,NON,Write-ins,1983
Lamar,,Lieutenant Governor,,LIB,Ruth Page-Nelson,188
Lamar,,Lieutenant Governor,,REP,Will Ainsworth,3888
Lamar,,Lieutenant Governor,,NON,Write-ins,4
Lauderdale,,Lieutenant Governor,,LIB,Ruth Page-Nelson,2523
Lauderdale,,Lieutenant Governor,,REP,Will Ainsworth,20181
Lauderdale,,Lieutenant Governor,,NON,Write-ins,122
Lawrence,,Lieutenant Governor,,LIB,Ruth Page-Nelson,942
Lawrence,,Lieutenant Governor,,REP,Will Ainsworth,8524
Lawrence,,Lieutenant Governor,,NON,Write-ins,19
Lee,,Lieutenant Governor,,LIB,Ruth Page-Nelson,5709
Lee,,Lieutenant Governor,,REP,Will Ainsworth,27410
Lee,,Lieutenant Governor,,NON,Write-ins,278
Limestone,,Lieutenant Governor,,LIB,Ruth Page-Nelson,4039
Limestone,,Lieutenant Governor,,REP,Will Ainsworth,23734
Limestone,,Lieutenant Governor,,NON,Write-ins,155
Lowndes,,Lieutenant Governor,,LIB,Ruth Page-Nelson,517
Lowndes,,Lieutenant Governor,,REP,Will Ainsworth,1394
Lowndes,,Lieutenant Governor,,NON,Write-ins,7
Macon,,Lieutenant Governor,,LIB,Ruth Page-Nelson,1226
Macon,,Lieutenant Governor,,REP,Will Ainsworth,1310
Macon,,Lieutenant Governor,,NON,Write-ins,49
Madison,,Lieutenant Governor,,LIB,Ruth Page-Nelson,24041
Madison,,Lieutenant Governor,,REP,Will Ainsworth,71895
Madison,,Lieutenant Governor,,NON,Write-ins,1142
Marengo,,Lieutenant Governor,,LIB,Ruth Page-Nelson,754
Marengo,,Lieutenant Governor,,REP,Will Ainsworth,3863
Marengo,,Lieutenant Governor,,NON,Write-ins,22
Marion,,Lieutenant Governor,,LIB,Ruth Page-Nelson,420
Marion,,Lieutenant Governor,,REP,Will Ainsworth,7654
