county,precinct,office,district,party,candidate,votes
Conecuh,0001 ANNEX VOTING,Proposed Statewide Amendment 1,,,No,5
Conecuh,0001 ANNEX VOTING,Proposed Statewide Amendment 1,,,Yes,56
Conecuh,0001 ANNEX VOTING,Proposed Statewide Amendment 2,,,No,14
Conecuh,0001 ANNEX VOTING,Proposed Statewide Amendment 2,,,Yes,47
Conecuh,0001 ANNEX VOTING,Governor,,DEM,"Chad ""Chig"" Martin",0
Conecuh,0001 ANNEX VOTING,Governor,,DEM,Doug Jones,25
Conecuh,0001 ANNEX VOTING,Governor,,DEM,Jamel J. Brown,8
Conecuh,0001 ANNEX VOTING,Governor,,DEM,"Nathan ""Nate"" Mathis",0
Conecuh,0001 ANNEX VOTING,Governor,,DEM,Will Boyd,5
Conecuh,0001 ANNEX VOTING,Governor,,DEM,Yolanda Rochelle Flowers,3
Conecuh,0001 ANNEX VOTING,Lieutenant Governor,,DEM,Darryl D. Perryman,25
Conecuh,0001 ANNEX VOTING,Lieutenant Governor,,DEM,Phillip Ensler,7
Conecuh,0001 ANNEX VOTING,"Public Service Commission, Place No. 1",,DEM,James O. Gordon,27
Conecuh,0001 ANNEX VOTING,"Public Service Commission, Place No. 1",,DEM,Jeff Ramsey,4
Conecuh,0001 ANNEX VOTING,"Public Service Commission, Place No. 1",,DEM,John Northrop,3
Conecuh,0001 ANNEX VOTING,Attorney General,,REP,Jay Mitchell,7
Conecuh,0001 ANNEX VOTING,Attorney General,,REP,Pamela L. Casey,4
Conecuh,0001 ANNEX VOTING,Attorney General,,REP,Katherine Robertson,9
Conecuh,0001 ANNEX VOTING,Commissioner of Agriculture and Industries,,REP,Christina Woerner McInnis,4
Conecuh,0001 ANNEX VOTING,Commissioner of Agriculture and Industries,,REP,Cory Hill,14
Conecuh,0001 ANNEX VOTING,Commissioner of Agriculture and Industries,,REP,Jack Williams,2
Conecuh,0001 ANNEX VOTING,Conecuh County Sheriff,,REP,Maxwell (Mike) Blackmon,10
Conecuh,0001 ANNEX VOTING,Conecuh County Sheriff,,REP,Randal Cleveland Brown,10
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Seth Burton,0
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Dale Shelton Deas Jr.,0
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Jared Hudson,3
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Steve Marshall,4
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Barry Moore,10
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Morgan Murphy,0
Conecuh,0001 ANNEX VOTING,U.S. Senate,,REP,Rodney Walker,2
Conecuh,0001 ANNEX VOTING,"Public Service Commission, Place No. 2",,REP,Priscilla Andrews,1
Conecuh,0001 ANNEX VOTING,"Public Service Commission, Place No. 2",,REP,Chris Beeker,4
Conecuh,0001 ANNEX VOTING,"Public Service Commission, Place No. 2",,REP,Brent Woodall,1
