county,precinct,office,district,party,candidate,votes
Greene,0001 WM. MCKINLEY BRANCH,Attorney General,,REP,Jay Mitchell,3
Greene,0001 WM. MCKINLEY BRANCH,Attorney General,,REP,Katherine Robertson,1
Greene,0001 WM. MCKINLEY BRANCH,Attorney General,,REP,Pamela L. Casey,0
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Barry Moore,2
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Dale Shelton Deas Jr.,0
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Jared Hudson,1
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Morgan Murphy,0
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Rodney Walker,0
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Seth Burton,0
Greene,0001 WM. MCKINLEY BRANCH,U.S. Senate,,REP,Steve Marshall,1
Greene,0002 MANTUA FIRE STATION,Attorney General,,REP,Jay Mitchell,3
Greene,0002 MANTUA FIRE STATION,Attorney General,,REP,Katherine Robertson,2
Greene,0002 MANTUA FIRE STATION,Attorney General,,REP,Pamela L. Casey,0
Greene,0002 MANTUA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Brent Woodall,0
Greene,0002 MANTUA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Chris Beeker,4
Greene,0002 MANTUA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Jim Zig Zeigler,1
Greene,0002 MANTUA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Priscilla Andrews,0
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Barry Moore,0
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Dale Shelton Deas Jr.,0
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Jared Hudson,2
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Morgan Murphy,0
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Rodney Walker,0
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Seth Burton,0
Greene,0002 MANTUA FIRE STATION,U.S. Senate,,REP,Steve Marshall,3
Greene,0003 JENA FIRE STATION,Attorney General,,REP,Jay Mitchell,12
Greene,0003 JENA FIRE STATION,Attorney General,,REP,Katherine Robertson,10
Greene,0003 JENA FIRE STATION,Attorney General,,REP,Pamela L. Casey,3
Greene,0003 JENA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Brent Woodall,2
Greene,0003 JENA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Chris Beeker,19
Greene,0003 JENA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Jim Zig Zeigler,6
Greene,0003 JENA FIRE STATION,"Public Service Commission, Place No. 2",,REP,Priscilla Andrews,0
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Barry Moore,15
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Dale Shelton Deas Jr.,0
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Jared Hudson,10
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Morgan Murphy,0
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Rodney Walker,0
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Seth Burton,1
Greene,0003 JENA FIRE STATION,U.S. Senate,,REP,Steve Marshall,2
Greene,0004 UNION FIRE STATION,Attorney General,,REP,Jay Mitchell,1
Greene,0004 UNION FIRE STATION,Attorney General,,REP,Katherine Robertson,7
Greene,0004 UNION FIRE STATION,Attorney General,,REP,Pamela L. Casey,1
Greene,0004 UNION FIRE STATION,"Public Service Commission, Place No. 2",,REP,Brent Woodall,0
Greene,0004 UNION FIRE STATION,"Public Service Commission, Place No. 2",,REP,Chris Beeker,8
Greene,0004 UNION FIRE STATION,"Public Service Commission, Place No. 2",,REP,Jim Zig Zeigler,2
Greene,0004 UNION FIRE STATION,"Public Service Commission, Place No. 2",,REP,Priscilla Andrews,0
