county,precinct,office,district,party,candidate,votes
Macon,1 NAT'L GUA ARMOR,Proposed Statewide Amendment One,,,No,105
Macon,1 NAT'L GUA ARMOR,Proposed Statewide Amendment One,,,Yes,461
Macon,1 NAT'L GUA ARMOR,Proposed Statewide Amendment Two,,,No,172
Macon,1 NAT'L GUA ARMOR,Proposed Statewide Amendment Two,,,Yes,390
Macon,1 NAT'L GUA ARMOR,Governor,,DEM,"Chad ""Chig"" Martin",11
Macon,1 NAT'L GUA ARMOR,Governor,,DEM,Doug Jones,390
Macon,1 NAT'L GUA ARMOR,Governor,,DEM,Jamel J. Brown,54
Macon,1 NAT'L GUA ARMOR,Governor,,DEM,"Nathan ""Nate"" Mathis",4
Macon,1 NAT'L GUA ARMOR,Governor,,DEM,Will Boyd,64
Macon,1 NAT'L GUA ARMOR,Governor,,DEM,Yolanda Rochelle Flowers,50
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,DEM,Darryl D. Perryman,303
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,DEM,Phillip Ensler,230
Macon,1 NAT'L GUA ARMOR,Macon County Coroner,,DEM,Hal E. Bentley,301
Macon,1 NAT'L GUA ARMOR,Macon County Coroner,,DEM,"Kenneth Jones, II",274
Macon,1 NAT'L GUA ARMOR,Macon County Sheriff,,DEM,Andre' Brunson,271
Macon,1 NAT'L GUA ARMOR,Macon County Sheriff,,DEM,Karl Kennebrew,305
Macon,1 NAT'L GUA ARMOR,"Public Service Commissioner, Place 1",,DEM,James O. Gordon,319
Macon,1 NAT'L GUA ARMOR,"Public Service Commissioner, Place 1",,DEM,Jeff Ramsey,123
Macon,1 NAT'L GUA ARMOR,"Public Service Commissioner, Place 1",,DEM,John Northrop,73
Macon,1 NAT'L GUA ARMOR,State Democratic Executive Committee,,DEM,Jacquelyn Carlisle,497
Macon,1 NAT'L GUA ARMOR,State Democratic Executive Committee,,DEM,Kennedie Clinton,66
Macon,1 NAT'L GUA ARMOR,State House,82,DEM,Jamie Lowe,28
Macon,1 NAT'L GUA ARMOR,State House,82,DEM,Pebblin W. Warren,285
Macon,1 NAT'L GUA ARMOR,State House,82,DEM,"Sidney ""Doc"" Brown",161
Macon,1 NAT'L GUA ARMOR,State House,82,DEM,Terrence K. Johnson,103
Macon,1 NAT'L GUA ARMOR,U.S. Senate,,DEM,Dakarai Larriett,186
Macon,1 NAT'L GUA ARMOR,U.S. Senate,,DEM,Everett Wess,195
Macon,1 NAT'L GUA ARMOR,U.S. Senate,,DEM,Kyle Sweetser,56
Macon,1 NAT'L GUA ARMOR,U.S. Senate,,DEM,Mark S. Wheeler II,92
Macon,1 NAT'L GUA ARMOR,Attorney General,,REP,Jay Mitchell,3
Macon,1 NAT'L GUA ARMOR,Attorney General,,REP,Katherine Robertson,4
Macon,1 NAT'L GUA ARMOR,Attorney General,,REP,Pamela L. Casey,1
Macon,1 NAT'L GUA ARMOR,State Auditor,,REP,Andrew Sorrell,2
Macon,1 NAT'L GUA ARMOR,State Auditor,,REP,Derek Chen,6
Macon,1 NAT'L GUA ARMOR,Commissioner of Agriculture and Industries,,REP,Christina Woerner McInnis,1
Macon,1 NAT'L GUA ARMOR,Commissioner of Agriculture and Industries,,REP,Cory Hill,6
Macon,1 NAT'L GUA ARMOR,Commissioner of Agriculture and Industries,,REP,Jack Williams,1
Macon,1 NAT'L GUA ARMOR,Governor,,REP,"""Alabama"" Will Santivasci",0
Macon,1 NAT'L GUA ARMOR,Governor,,REP,Ken McFeeters,1
Macon,1 NAT'L GUA ARMOR,Governor,,REP,Thomas Tuberville,7
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,George Childress,0
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,John Wahl,3
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,Nicole Jones Wadsworth,0
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,Pat Bishop,0
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,Rick Pate,2
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,Stewart Hill Tankersley,0
Macon,1 NAT'L GUA ARMOR,Lieutenant Governor,,REP,Wes Allen,3
Macon,1 NAT'L GUA ARMOR,"Public Service Commission, Place No. 1",,REP,Jeremy H. Oden,1
Macon,1 NAT'L GUA ARMOR,"Public Service Commission, Place No. 1",,REP,Matt Gentry,7
Macon,1 NAT'L GUA ARMOR,"Public Service Commission, Place No. 2",,REP,Brent Woodall,0
Macon,1 NAT'L GUA ARMOR,"Public Service Commission, Place No. 2",,REP,Chris Beeker,4
Macon,1 NAT'L GUA ARMOR,"Public Service Commission, Place No. 2",,REP,Jim Zig Zeigler,3
Macon,1 NAT'L GUA ARMOR,"Public Service Commission, Place No. 2",,REP,Priscilla Andrews,0
Macon,1 NAT'L GUA ARMOR,Secretary of State,,REP,Caroleene Dobson,6
